,config_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision,test_f1_std,train_f1,train_accuracy,overfit_gap_%
31,32,0.9834227498996426,0.11214674164252253,0.13597896644265026,9,9,800,2.2772068177751272,3.0481550582845096,65.63106079251784,0.6626475670115155,0.9620997593669527,0.7728216928247283,0.8341155726828205,0.8022860630832598,0.9283556171382219,0.8604810072202753,0.008694605196806747,0.9757453143872871,0.9954156549856942,21.620623775690095
32,33,0.9805677427037964,0.19474094745121018,0.08324726190001523,8,4,800,0.4624351295354613,2.768557426790056,65.63106079251784,0.5841684779595651,0.9620543873231467,0.7727630120657565,0.833870176140185,0.8020876790199167,0.9283845466639702,0.8597045378426766,0.009252964458633007,0.968303791456748,0.9939631870410194,20.722935507491314
33,34,0.9034827454419968,0.22983243520133062,0.11384965698613603,7,3,900,2.5918847422050306,2.4066668826783246,32.81553039625892,0.5249895143298393,0.9619408567760281,0.7719083852079814,0.8336241736801606,0.8015286508574112,0.9276978943802676,0.8587101832305557,0.0068040788203419175,0.9679864941751785,0.9939007771420799,20.767547503099728
34,35,0.9887331931573928,0.10042954493114709,0.1417068487563094,9,2,300,0.5024477467772093,0.5228392016720013,98.44659118877676,0.5621099833640297,0.9618274163652207,0.7712705267231877,0.8333775653027466,0.8010265065732473,0.9264692033019468,0.860487574199745,0.007261852109538367,0.9732640363243993,0.9949333936907578,21.502101158671504
35,36,0.7275378177601922,0.08177689726509368,0.06778353139892687,8,6,900,2.423871984327057,3.8388230885716883,32.81553039625892,0.7193245092179923,0.9617139630777976,0.7694782609881046,0.8353474027351112,0.8009618870695476,0.9290229196394488,0.861370044971227,0.010061464724847433,0.9579729010732926,0.9919093122452539,19.60280714207212
36,37,0.9899851646794253,0.30094079481816105,0.12066030505937683,9,16,700,0.4699153109214249,0.21867812939984743,32.81553039625892,0.9640418201630249,0.9614189340541628,0.7667762006641181,0.8358397106138549,0.7998133525767014,0.9306650546234527,0.8606588573175333,0.010303874247450884,0.9600399633079949,0.992323490526198,20.03300022625316
37,38,0.5035331526098588,0.011531212520707879,0.10970718544909393,9,10,700,2.9212665565243774,1.1638567021515211,65.63106079251784,0.8925879806965068,0.9612600649424398,0.7644630625314118,0.838054035712771,0.7995547271485531,0.9287851553458575,0.8622525133745352,0.008036727460910487,0.9637101421627025,0.9930553973721585,20.530854166740497
38,39,0.6815296060975453,0.01711405541026456,0.16782435624739747,7,6,900,1.0882736839978362,4.305340099873608,98.44659118877676,0.9742266534810784,0.9612374175503845,0.7649583471244743,0.8368249322887319,0.7992458260606659,0.9292985080609736,0.8617818436874269,0.009996982341759685,0.9724461229497582,0.9947745265110933,21.67046623724824
39,40,0.8368227087374538,0.08962662786964037,0.1418504221969298,9,16,800,0.4958534704288723,0.00996067609535134,65.63106079251784,0.7659445395037571,0.9612146156389384,0.7655828072262334,0.8353470997764164,0.7988521424028081,0.9286595017124739,0.8611553173993425,0.007241533351348056,0.973700274651431,0.9950184949232364,21.887421084296044
40,41,0.7719028639331187,0.04993341056808909,0.14072844432884263,7,5,900,1.012036640307278,0.09663815458800518,131.2621215850357,0.9744229779155652,0.9607380881387876,0.7615753361161842,0.8358406194899388,0.796950226742778,0.9290142621403124,0.8610559070656819,0.008403917564963522,0.9751012416384579,0.9952908345440028,22.354095515325014
41,42,0.5868358184771699,0.34508553530216607,0.13266321582246365,9,7,900,1.5250664626937769,4.959158962318152,98.44659118877676,0.6398834654435204,0.9605564995259603,0.7599991498959398,0.8365777179939287,0.7963761203918277,0.9286781353763353,0.8618001209223607,0.004360271631076027,0.9713136607656544,0.9945532529734582,21.96669838464709
42,43,0.6584520688603124,0.13339727471691543,0.10612590202781483,7,4,900,2.5345922562315257,1.7983778061153388,32.81553039625892,0.5914322633774363,0.9607153197065429,0.7636035267908431,0.8319012475839044,0.796170039258745,0.9288759373731359,0.859575521562484,0.010100189654360247,0.9639402157435635,0.9931007867992679,21.072153963620256
43,44,0.5729610370175727,0.051396202246332845,0.11847185535039122,9,16,900,1.8544672029543574,3.5123248527205195,65.63106079251784,0.887902367896478,0.9602614833789416,0.7574716900755977,0.8370706317900616,0.7952439228552673,0.9308993832707724,0.8622075907351723,0.00684763069190246,0.9660885185430071,0.9935263143684269,21.48329471973005
