,colsample_bytree,learning_rate,min_child_samples,min_child_weight,min_data_in_leaf,n_estimators,num_leaves,path_smooth,reg_alpha,reg_lambda,subsample,subsample_freq,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
714,0.730028167634166,0.039969423129080806,12,0.053953450317274436,5,700,18,1.2111531137634004,0.5143717101410696,1.0440534333424298,0.6666544149655003,1,524873.6646763707,32771.98365796669,1175064.1327741533,196105.26015011827,309094.26435212314,3697.8531981877086,633227.4491549535,13438.31494593501,69.81022464992415
930,0.7958431876000549,0.022629033275829026,11,0.01960916091238426,9,1500,19,1.847958392451655,1.0753743951494494,4.216436984244527,0.8167844057866863,1,525654.89654817,37014.50748998362,1198482.9744703167,219422.165009016,308045.67562024127,6589.511692370745,668636.6845801063,18465.6063324371,70.64186844687195
674,0.7688079048722141,0.03286511227303968,11,0.21467719781675818,11,2000,15,1.5467965930282164,1.4388762562280877,4.9973451199340175,0.570133696550744,1,527351.642788095,34036.92527613861,1204336.1434585927,201212.95848143453,300879.88259786274,6600.813196722811,654603.4218960747,18443.42783111421,75.26982470041719
900,0.7090291281047238,0.03975177299769114,11,0.47854837508537756,10,2000,17,0.6656142465150894,1.9682979826813094,2.2660071170504814,0.5142328583173851,1,528665.8491118073,41086.58394494397,1201945.631198587,219369.43984621568,295023.1417387778,4668.854294966487,647248.5955683298,17156.556572692272,79.19470520041565
28,0.6174367377057973,0.041039974307490144,7,0.13554140236128445,12,2000,16,1.2670135982914066,2.2553070314051986,4.193180715867101,0.7599855723111061,1,528985.5971000557,44477.9494693282,1209292.5858594042,223784.0077343273,305682.2424816055,5303.991658819498,670637.931521128,16722.55041648101,73.05081015031074
706,0.7742851075298725,0.04337208571474435,11,0.10702148485070122,6,1500,13,0.7674972686423245,1.3377944271971622,2.6718740320555483,0.6004768018417869,1,529216.3384984815,36329.89606916997,1217158.6191546828,192885.2038757852,301758.1258564867,5713.267455009522,643727.6430538662,16918.177084496525,75.37765950673085
115,0.88256627902377,0.04050549814073902,9,0.05381139113300716,10,1000,18,1.4201170838160615,1.0846188113222632,4.964674504547906,0.5926686805533774,1,529421.0699324809,35821.815538408395,1197887.1558179322,200977.76194139512,309046.8398805165,7156.478407525804,671325.2973943658,21512.06799935761,71.30771184625779
834,0.5133292797758033,0.04590100711316669,13,0.1585775778921097,13,1500,12,1.2684505413731997,0.9733441693627547,3.2839662853039138,0.6631530440787933,1,530142.3531328606,32421.22484845916,1203891.8274134002,192637.0724107725,307654.63302271103,5843.397947100462,646347.0001119471,12884.250536990956,72.31736376735323
880,0.768911531789632,0.04518384525171263,9,0.4850252940811804,6,1500,16,0.6399467832151153,2.3230591282221003,4.345536942524903,0.8320770252278286,1,530155.4312158717,39523.1797798306,1220094.9129690856,213960.36346538787,309363.8545315064,6802.343808794097,682156.297146446,21512.73945397082,71.36954542369762
522,0.6205852237835203,0.031170530664983355,5,0.192320304931819,5,2000,19,0.5057557182617014,2.2570286920871374,3.332511293811477,0.7315861281183218,1,530437.7787011404,39362.82535257501,1203244.8430911778,225856.1104451456,309012.9681502588,5723.748161096867,682050.8621929117,18833.743226712388,71.65550749417508
44,0.5366816589033925,0.031314723517352594,8,0.33953404347774885,8,2000,11,1.6719440757068038,0.8971261070610681,4.72371642274917,0.889699283413764,1,530830.6694962964,35354.58662997647,1203874.7858172436,217752.90611090072,322660.7683880819,5983.644573352286,680929.4675830228,14566.631182095554,64.51664457013784
