,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
344,0.8749625456544949,0.012249224133826175,0.10184120226387795,13,3,1000,4.0411760500461105,0.9790752103857883,463943.5597202826,35999.80379935175,1126627.1116623986,211530.7426044786,157319.97108627416,2498.2597445549395,379954.66156168084,13687.16640922207,194.90442727443443
761,0.7096851556496588,0.013304183038842066,0.23056855543047883,13,5,500,1.0294099408916058,0.7409924187773405,465291.97707113734,28287.62433932184,1127546.4085315284,150951.0484968786,142733.28903074004,3805.1134339417554,266525.0272336585,10473.27995676325,225.98700711711953
807,0.8580600333203614,0.008484564657733229,0.2981100323866391,12,2,300,0.07186475888888821,0.6198050518809174,466641.3151242601,32144.00358549253,1131282.1895420956,187084.60143178294,113432.28610738399,1452.7594677085458,192497.2698507838,4398.827295768602,311.38315301386103
304,0.8100959030080641,0.016322838772834303,0.2705654518960866,7,1,900,3.472252280653544,0.6328828254847126,466946.9649877798,34801.83763427749,1130850.420543309,178270.41409415586,154867.87735084476,2438.687238649884,279031.2666517731,9458.008491995542,201.51311748784212
311,0.7587187388345266,0.022193886085427217,0.09334662183452032,13,5,300,3.0853325805890064,0.6455353573906405,467929.9294034791,33414.55483960611,1137357.1273921237,201722.57592284022,181880.4019899512,3011.261239005456,392627.3886085332,11892.189511498997,157.27341939200903
389,0.8375209923238462,0.01640481206430422,0.2008127406339905,9,15,600,2.5346021898091733,0.7637648287268073,469663.97839387116,28796.227341400692,1145337.460217788,156480.58407684322,173133.34685849975,1727.1313789967683,322754.3687390393,10499.314437166437,171.27297364483059
268,0.6028116815254476,0.028640125538811678,0.07756711068054692,14,4,900,0.3447900817821059,0.6228218884605017,470207.0976581825,33508.375436877046,1145293.7329029373,211123.9047251275,184032.48850739287,2467.39739220192,380443.39484781475,11017.083757500563,155.5022221738275
425,0.9439295341565104,0.017503957403402826,0.24621200350153166,7,11,600,3.5273041514174315,0.7710405334813349,470254.66595315497,34710.88272789023,1166431.481455863,170049.428423249,175453.62785069222,2839.7341982124885,322356.19215175987,12832.934384575035,168.02219578687362
729,0.8945892698476291,0.025828678557320517,0.02478834782932493,13,1,300,0.2395693395666687,0.979408131005566,470370.99932239746,35785.530057710246,1131791.5501242985,199134.48088724347,168541.39836887037,2999.0253394675947,325020.05339497596,6623.691864940152,179.0833610463713
70,0.6535408475202532,0.0068359824134986424,0.032607718105738696,6,5,900,4.983184185369527,0.822172682241051,471701.3202483112,32315.73768946774,1126257.6058827334,208016.2512805934,210068.5122348215,8397.227279053533,414033.0071160026,17481.882636647057,124.54641832328872
