,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
36,0.9652962210225885,0.2556711994304689,0.16045488840615987,9,1,1000,3.978963347180505,0.9560021367270265,77477.61866681326,1057.3186034123078,421557.891981714,14061.492816180626,33403.761437159315,2055.6759028249903,125645.44932703383,8225.30043572953,131.94279725823003
274,0.8880032158652452,0.20899496693524217,0.03665207352626931,11,1,300,4.90258411000553,0.6909637983445516,77570.93480119306,599.1282270642525,440564.2937251138,16464.696151747194,62633.96252575505,909.6378566709893,320937.3410740693,6554.682864729784,23.848039742489433
214,0.9622099169318695,0.38631136372469127,0.08946863417102002,10,1,800,0.9593366235937145,0.7293486248462083,77706.15940235142,631.4670218247527,420959.1969131858,15725.113892789579,35658.879949014,1734.2452385827758,129097.66704143904,10132.754729999459,117.91531173569592
212,0.6927788384463902,0.19545299795275733,0.18834290055585193,14,2,600,2.9852345844784582,0.8703364980349504,78621.45965592383,137.39674741911992,418400.12384548737,15145.179432930006,12923.424288735905,608.6601385455205,86262.7262204221,9248.038010153225,508.3639900645414
125,0.8880810326529183,0.05328936506433718,0.0520055615981347,14,6,600,2.9870655108515414,0.8402067441734613,78885.9515435644,400.81766090716565,410457.41095449874,20355.598879995137,43270.771314514226,670.1726525585299,186676.08480272166,5194.623706890575,82.30770829154102
78,0.7601201955641126,0.3488337868484659,0.06402018170478956,9,3,600,2.5761802743210542,0.9892441397080417,79590.26931131652,620.2175708652858,423764.0605791393,20013.6742589976,58218.29011534981,1097.4378890390044,264450.53181972384,6930.688170061324,36.71007711429124
253,0.8973695144306437,0.3059702526686655,0.04177921376754789,12,7,800,3.1814567698962404,0.9044486148172632,80312.94701062434,335.01376033777836,414854.8291596212,19673.489165187773,53204.1987061919,1309.0867669834734,237247.03022286016,8063.097237462,50.952272496639495
50,0.8726454675891159,0.17031228473212,0.08820835847077092,12,4,500,3.483685826820753,0.8515771387119535,80314.76690143741,652.5942290620792,414826.02474846266,19765.658141423854,43898.46252456637,1123.8383145075436,177810.5270611276,6664.688809678527,82.9557626454271
293,0.6699525748703837,0.42786862945289317,0.07815386710705446,13,3,800,4.3319325712567105,0.6862119475165327,80374.31794765907,674.4481093900944,409265.0745622753,18106.14236758033,34788.667162157064,1045.9219912818744,136419.0774728209,7656.800438284877,131.03592205190847
201,0.8076327140544872,0.23959093881486548,0.017692619741930704,14,12,900,1.9941139044845024,0.8320689476909329,82980.70105995826,363.9564121886954,428428.0456502883,18300.42182026932,64191.26241369744,799.584684089737,312470.8837568376,8397.395063358177,29.271022160566563
