,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
293,0.6699525748703837,0.42786862945289317,0.07815386710705446,13,3,800,4.3319325712567105,0.6862119475165327,2654.1267190319545,10.905174419205064,7527.291322122283,196.86611482987826,993.1369990420026,24.212548669753627,1976.7622220877256,63.803214017949514,167.24678685741966
478,0.6548593952610973,0.2903495422771425,0.16165262811695918,13,3,800,1.3682020893038582,0.795133727417605,2655.960753577292,1.5336714863605798,7711.198520870193,123.40116909579075,573.0592704726737,18.504686047780666,1283.9824893927778,42.93875246967483,363.47051525518276
289,0.9952262266611096,0.4506480053873244,0.20550037561192777,14,2,1000,4.141246262186092,0.734083218948349,2669.3076274555574,13.130044901344512,7915.315572137796,120.3965650380747,428.6347289601055,8.50120002420583,1143.7951706312735,28.74825784754337,522.746466188464
288,0.751610850487639,0.4867286949880866,0.11105215055833097,14,6,500,0.5537422265947906,0.9038329640458527,2670.2296135166084,6.026366679770481,7690.325945566347,103.30521997028465,786.536951902766,13.85013481512866,1631.5022483240382,37.30150268447127,239.49194720691395
42,0.6625748170684344,0.12512144908229766,0.17476799941183616,14,8,900,1.3996694847297142,0.9819461122652776,2679.2203667191384,4.389691875819438,7738.20493865116,92.002178918176,384.9754444060075,5.951986038872415,1127.8907312627082,28.603903620861836,595.9457819064289
269,0.71287482987728,0.13085284186795298,0.08409363972159994,13,10,1000,2.144434394305193,0.9379157745144086,2680.680747836854,6.926597538008917,7547.401723529502,105.11514863332816,940.0506936830038,16.72363840133503,1968.3066462668169,46.67058233148686,185.1634242547361
405,0.8690811976835592,0.39834069859568616,0.08514036963774968,13,3,500,4.164151883941355,0.9624348241925043,2683.019157154334,16.756396667135203,7743.028191079499,162.3394813998669,934.4340518551095,7.312492218007968,1895.9284372898462,13.890897074877698,187.12771669951462
427,0.680439490977067,0.29511632957544637,0.13228985739389673,11,4,800,0.5269660905390261,0.9057762912302018,2690.1088974068884,6.516107379662738,7620.319279812123,149.06233282774105,882.723674206008,15.834233624013658,1713.1598655119872,46.525730027022874,204.75096295866163
180,0.8019379527572071,0.2716502616816442,0.1641987603426175,14,4,500,3.6262883020756824,0.7946675765698812,2690.4035479211875,3.442864233659532,7734.345117752062,150.94814908302084,671.8503198202048,15.791631407374922,1438.3700715438529,47.31236851206717,300.44686570085605
444,0.6267894448101086,0.43867522656641933,0.12682148169366259,14,8,800,4.2396394188167426,0.8182340730676592,2692.3477766709275,9.435632898996268,7592.707194648472,191.60139804443074,799.3917722474052,22.49320475699951,1685.6356937209032,57.92160049806816,236.79953561464325
102,0.7515286262227663,0.22850010964083917,0.19118736162175376,13,5,900,1.1462569761632073,0.8889010273572264,2696.5822004955444,5.276632115376739,7817.4679583666775,86.34696453917799,498.62562986393067,10.669694933537157,1213.0757053069908,32.404833082895955,440.80296699377675
460,0.9566843460810983,0.4245895027508521,0.13180354051183318,10,3,1000,0.07190723036042512,0.905741354574571,2702.4628791657465,7.956079584635871,7719.764282391086,126.75999671558615,902.8485530402135,12.778905933247744,1690.9255193662457,37.92696697837178,199.32626796217252
